Hybridization REF	13685041.gpr	13685040.gpr	13685153.gpr	13685151.gpr	13685042.gpr
Reporter REF	Software Unknown:M	Software Unknown:M	Software Unknown:M	Software Unknown:M	Software Unknown:M
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101020 Stau1 ProximalPromoter	-0.091	0.012	0.04	-0.019	-0.304
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101770 Tnfsf13 ProximalPromoter	0.081	-0.009	0.059	0.036	-0.156
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102903 Kcna1 ProximalPromoter	-0.323	-0.147	0.055	0.049	-0.303
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103743 Lsm7 ProximalPromoter	-0.258	-0.143	0.071	0.073	-0.146
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104397  DistalPromoter	-0.096	-0.295	0.095	0.047	-0.221
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104943 Rps16 DistalPromoter	0.03	0.105	0.062	0.027	-0.027
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105309 Nit2 DistalPromoter	-0.223	-0.414	0.29	0.391	-0.42
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106233 2310042G06Rik DistalPromoter	0.219	0.267	0.013	-0.102	0.053
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203560 Pde4c ProximalPromoter	-0.033	0.151	0.028	-0.107	-0.142
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202765 Flcn ProximalPromoter	-0.015	0.158	-0.022	-0.262	-0.094
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203802 2310015N21Rik ProximalPromoter	0.08	0.227	-0.232	-0.298	0.064
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201348 Pex12 ProximalPromoter	-0.024	0.219	-0.232	-0.084	-0.076
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205312 Cst7 ProximalPromoter	0.136	0.662	-0.305	-0.611	-0.057
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201590 Umodl1 ProximalPromoter	-0.144	0.142	-0.058	-0.286	0.192
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206044 Pde10a ProximalPromoter	-0.024	0.018	0.139	-0.422	0.035
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200579  ProximalPromoter	0.064	-0.13	-0.034	-0.231	0.199
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P210654 2810039F03Rik ProximalPromoter	-0.142	0.513	-0.273	-0.43	0.126
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207915  ProximalPromoter	-0.03	0.388	-0.215	-0.509	0.063
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208175 Sprrl7 ProximalPromoter	0.152	0.229	-0.486	-0.703	0.192
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209221 Mcf2 ProximalPromoter	-0.085	0.133	-0.125	-0.044	0.006
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P002398 Stratagene PCR 6	0.357	0.306	-0.26	-0.401	0.181
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001919 Cy3 Anchor	null	null	null	null	null
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100996 Apcs ProximalPromoter	-0.471	-0.362	0.375	0.276	-0.424
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101746 Jam3 ProximalPromoter	-0.005	0.036	0.03	0.012	-0.131
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102597 Srp14 ProximalPromoter	-0.203	-0.286	0.083	0.012	-0.165
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103719 Phf10 ProximalPromoter	0.009	0.14	-0.028	-0.061	-0.053
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104373 Mtap7 DistalPromoter	-0.123	-0.01	0.18	0.182	-0.148
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104919 Atp6v0d1 DistalPromoter	-0.421	0.051	0.311	0.37	-0.47
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105375  DistalPromoter	0.024	-0.156	-0.017	-0.063	-0.248
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106212 Spop DistalPromoter	0.117	0.207	0.038	0.036	0.127
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203536 Slpi ProximalPromoter	-0.162	-0.281	0.013	0.045	-0.14
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202740  ProximalPromoter	-0.048	0.217	0.254	-0.076	0.097
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202137 Dhrs9 ProximalPromoter	-0.303	-0.063	0.218	-0.228	-0.106
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201324 Mum1l1 ProximalPromoter	-0.277	-0.312	0.162	0.09	-0.256
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205287 Cxcr6 ProximalPromoter	0.54	0.209	-0.123	-0.416	-0.049
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201566 Gbl ProximalPromoter	-0.071	0.115	-0.072	-0.115	-0.14
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206111  ProximalPromoter	-0.334	-0.144	0.046	-0.384	-0.248
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200555 Olfr112 ProximalPromoter	0.082	0.22	-0.242	-0.278	0.147
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P210630 1700019P01Rik ProximalPromoter	-0.168	0.125	0.162	-0.159	-0.195
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207891 1700016G05Rik ProximalPromoter	0.295	0.852	-0.452	-0.157	-0.064
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208736 Bicd2 ProximalPromoter	-0.058	0.047	-0.028	-0.11	0.134
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209197 Olfr78 ProximalPromoter	0.27	0.41	-0.225	-0.363	0.256
